phylo_name,armwing_area_m2,handwing_area_m2,wingspan_m,wing_area_m2,aspect_ratio,wing_loading,chord_m,area_span,ecotype
IND_1,0.003301055,0.003197077,0.295545021,0.012968817,6.740590152,12.24791483,0.048190848,0.043862698,Glide
IND_2,0.003836706,0.003171219,0.289932511,0.01398119,6.030850116,12.85343864,0.054966094,0.048177348,Raptor
IND_3,0.009905602,0.007283612,0.458728906,0.034335773,6.153433662,19.58216702,0.08824339,0.074651985,Glide
IND_4,0.00842353,0.00603849,0.410837808,0.028886094,5.854512248,18.3451914,0.081234564,0.070248085,Glide
IND_5,0.011488591,0.008589551,0.494494045,0.040101855,6.105453751,15.44002221,0.091708264,0.081066261,Glide
IND_6,0.003479525,0.002689253,0.274629538,0.012319692,6.130658857,11.40609975,0.050874267,0.044848232,Raptor
IND_7,0.003902612,0.003063111,0.28752929,0.013915279,5.95334629,12.28674,0.053865301,0.048345552,Raptor
IND_8,0.003470604,0.002795884,0.276814892,0.01250352,6.147416401,9.672168255,0.049991128,0.045101629,Raptor
IND_9,0.003790643,0.003211044,0.285290615,0.013968929,5.847105063,10.95630847,0.05648741,0.048920086,Raptor
IND_10,0.005006176,0.004054504,0.325050772,0.018084783,5.856337816,11.68097985,0.064758354,0.055598767,Raptor
IND_11,0.003822433,0.002461219,0.274742778,0.012547459,6.020088812,13.52645821,0.054923692,0.045651877,Raptor
IND_12,0.007104733,0.004771902,0.37321147,0.02375,5.866167326,16.84565573,0.069598689,0.063638207,Glide
IND_13,0.003499428,0.002897874,0.278747352,0.012741769,6.099456162,11.77603053,0.051575698,0.04570942,Raptor
IND_14,0.00457701,0.00365531,0.316479676,0.016436683,6.146791477,15.9813715,0.059883803,0.051513767,Glide
IND_15,0.002562666,0.002100709,0.241915055,0.009310768,6.285784781,9.666389102,0.043792033,0.038489657,Glide
IND_17,0.006455235,0.003443907,0.357012213,0.019771139,6.456848887,17.11008166,0.059067895,0.055366557,Glide
IND_18,0.00592666,0.003599666,0.334688325,0.019004899,5.89414813,19.73203343,0.061947131,0.056783896,Raptor
IND_19,0.001830521,0.001450942,0.202560266,0.006553763,6.261362146,8.901557556,0.035190559,0.032351883,Glide
IND_20,0.003487673,0.002710105,0.287470224,0.012390153,6.687545531,13.51378829,0.048649688,0.043028489,Glide
