Species,Group,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
Didelphis,M,-76.54362984,16.46219963,-61.06671548,0.182867325,13.49091796,-18.05978344,-9.827951035,5.970639643,1.858821161,1.091542962
Marmosa,M,-69.93783736,25.4342209,-56.0610833,-5.766073048,23.15240075,-14.16933045,13.38625212,14.19985471,2.702501753,0.504150013
Caenolestes,M,-76.06775522,19.1107919,-48.25549679,-4.193189715,4.383493808,2.419898015,-11.08958833,-13.69195094,4.466939494,2.29537763
Dasyurus,M,-63.52736051,22.42209232,-31.76866773,3.711125299,23.63222461,29.43217781,-7.717097124,2.546498752,-2.318707196,9.930891848
Perameles,M,-68.50629222,16.12375756,-28.9603664,-9.324176789,10.60393742,8.589632289,3.055077236,-15.5079182,-7.653491046,-16.63348798
Dromiciops,M,-67.34916165,18.79847116,-24.28461917,4.767799353,11.51842209,-0.782412877,16.35346236,1.438597804,-10.94045156,1.7051115
Thylacomyidae,M,-54.05863588,4.146758513,-7.950911632,18.76596105,-14.88756898,6.483496733,-8.027057903,1.187191396,10.43988868,-3.17499375
Macropus,M,-46.52657048,-21.9758282,54.80341582,-1.049064931,6.167496818,10.57611705,13.02512102,-18.59508304,2.864954378,8.751399589
Acrobates,M,-65.119198,2.286415042,14.96156171,10.12486358,-28.65072357,-14.06472005,16.51480853,0.077767072,-7.120004594,1.196054993
Phascolarctos,M,-60.92123114,-30.15087547,43.87239656,-2.823207817,-1.864786835,-1.042570771,-28.8740773,1.854549773,-0.113644164,8.071173312
Vombatus,M,-49.25180316,-37.27796137,57.17777578,-13.89477945,14.43023042,-1.72886755,-14.45432666,10.44039389,0.814855423,-12.72529698
Phalanger,M,-64.34469084,-7.648716282,44.37241282,4.899386622,-16.52256687,-13.2948863,-2.64774801,-6.979228284,4.833921126,-5.713496213
Pseudocheirus,M,-58.05646172,-12.50753251,45.23058255,7.320248502,-19.10408743,4.552172193,6.637412701,8.798268767,-0.532741281,-1.79884246
Petauroides,M,-60.08951847,-7.345228741,45.82911397,2.104201601,-18.37960819,6.3130245,12.50991225,9.096029223,-1.324314715,5.542405032
Erinaceus,E,56.22873832,-10.80690088,-67.23936877,-71.21622495,-51.85281098,7.157360895,-1.055336706,1.196925933,3.25770886,1.177104904
Canis,E,89.75195754,52.3148778,-23.38155807,49.51834405,-19.65691882,1.489639329,0.532086665,-3.484482295,4.666955753,-4.078382677
Felis,E,100.014892,46.34986154,-16.44340285,48.17368568,-19.80777872,2.811971834,-12.96705154,3.472977758,-7.359511917,0.762467592
Rattus,E,77.71519677,-123.7210632,-34.66367507,11.24493659,6.138152905,-28.16896042,-3.899233869,-7.646110059,-7.107455789,4.810855532
Oryctolagus,E,88.24056053,-121.9535479,-33.03576212,19.93374688,12.21228255,25.57508204,11.0791831,6.183872366,6.194215557,-4.875324542
Bradypus,E,83.27272756,39.86487949,24.38902772,-9.010799684,21.26791639,-12.64111368,9.415445804,-1.941918661,19.91293487,0.889090486
Tamandua,E,85.2862018,24.98677687,15.64811061,-3.722806523,7.976445745,-6.877622298,3.361396585,-0.948600891,2.353751006,4.960485276
Dasypus,E,97.71020174,26.80725182,27.31385179,-17.72216822,9.583332037,3.597130688,-1.163485986,0.556813998,-6.488739626,1.965474835
Chaetophractus,E,100.9256637,28.81403512,30.00160228,-20.65973648,12.71567965,0.810601652,-1.809045476,1.125921819,-6.837233781,-2.270614262
Euphractus,E,101.1540065,29.4652649,29.51177577,-21.36493892,13.45391722,1.021962816,-2.338158432,0.648989477,-6.571152399,-2.383146637
